Village A,Village B,Village C,Village D,Village E
0.19283,0.19283,0.19283,0.19283,0.19283
0.40075,0.40075,0.40075,0.40075,0.40075
0.57441,0.57441,0.57441,0.57441,0.57441
0.69793,0.69793,0.69793,0.69793,0.69793
0.76871,0.76871,0.76871,0.76871,0.76871
0.78283,0.78283,0.78283,0.78283,0.78283
0.74275,0.74275,0.74275,0.74275,0.74275
0.65011,0.65011,0.65011,0.65011,0.65011
0.50868,0.50868,0.50868,0.50868,0.50868
0.3248,0.3248,0.3248,0.3248,0.3248
0.06144,0.06144,0.06144,0.06144,0.06144
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.00851,0.00851,0.00851,0.00851,0.00851
0.05409,0.05409,0.05409,0.05409,0.05409
0.09603,0.09603,0.09603,0.09603,0.09603
0.37965,0.37965,0.37965,0.37965,0.37965
0.49918,0.49918,0.49918,0.49918,0.49918
0.52411,0.52411,0.52411,0.52411,0.52411
0.53252,0.53252,0.53252,0.53252,0.53252
0.40937,0.40937,0.40937,0.40937,0.40937
0.28674,0.28674,0.28674,0.28674,0.28674
0.25789,0.25789,0.25789,0.25789,0.25789
0.11733,0.11733,0.11733,0.11733,0.11733
0.00942,0.00942,0.00942,0.00942,0.00942
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.03474,0.03474,0.03474,0.03474,0.03474
0.17545,0.17545,0.17545,0.17545,0.17545
0.33736,0.33736,0.33736,0.33736,0.33736
0.46783,0.46783,0.46783,0.46783,0.46783
0.67548,0.67548,0.67548,0.67548,0.67548
0.74429,0.74429,0.74429,0.74429,0.74429
0.76154,0.76154,0.76154,0.76154,0.76154
0.72914,0.72914,0.72914,0.72914,0.72914
0.64453,0.64453,0.64453,0.64453,0.64453
0.50823,0.50823,0.50823,0.50823,0.50823
0.32684,0.32684,0.32684,0.32684,0.32684
0.12166,0.12166,0.12166,0.12166,0.12166
0.00644,0.00644,0.00644,0.00644,0.00644
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0229,0.0229,0.0229,0.0229,0.0229
0.18968,0.18968,0.18968,0.18968,0.18968
0.39839,0.39839,0.39839,0.39839,0.39839
0.56995,0.56995,0.56995,0.56995,0.56995
0.69325,0.69325,0.69325,0.69325,0.69325
0.7631,0.7631,0.7631,0.7631,0.7631
0.77821,0.77821,0.77821,0.77821,0.77821
0.74289,0.74289,0.74289,0.74289,0.74289
0.65466,0.65466,0.65466,0.65466,0.65466
0.51269,0.51269,0.51269,0.51269,0.51269
0.32768,0.32768,0.32768,0.32768,0.32768
0.12177,0.12177,0.12177,0.12177,0.12177
0.00778,0.00778,0.00778,0.00778,0.00778
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
